Date,GOOGL,BF-A,EMR,ANET,AMZN,NVDA,CNC,TD
2025-09-08,234.0399932861328,28.09000015258789,132.15655517578125,140.00999450683594,235.83999633789062,168.30050659179688,28.84000015258789,74.72000122070312
2025-09-09,239.6300048828125,27.959999084472656,131.4794921875,141.91000366210938,238.24000549316406,170.7503662109375,31.059999465942383,75.33999633789062
2025-09-10,239.1699981689453,27.8700008392334,133.09249877929688,150.72000122070312,230.3300018310547,177.32000732421875,31.270000457763672,75.86000061035156
2025-09-11,240.3699951171875,28.049999237060547,136.87608337402344,153.0399932861328,229.9499969482422,177.1699981689453,34.08000183105469,76.81999969482422
2025-09-12,240.8000030517578,27.959999084472656,134.51632690429688,139.38999938964844,228.14999389648438,177.82000732421875,33.2599983215332,76.79000091552734
2025-09-15,251.61000061035156,27.860000610351562,135.0738983154297,145.42999267578125,231.42999267578125,177.75,32.63999938964844,77.6500015258789
2025-09-16,251.16000366210938,27.75,128.4725341796875,142.16000366210938,234.0500030517578,174.8800048828125,31.799999237060547,77.87999725341797
2025-09-17,249.52999877929688,27.920000076293945,130.4340362548828,142.83999633789062,231.6199951171875,170.2899932861328,32.02000045776367,78.4000015258789
2025-09-18,252.02999877929688,27.959999084472656,131.34010314941406,146.66000366210938,231.22999572753906,176.24000549316406,32.16999816894531,78.4000015258789
2025-09-19,254.72000122070312,26.8700008392334,131.7682342529297,149.61000061035156,231.47999572753906,176.6699981689453,31.770000457763672,78.62999725341797
2025-09-22,252.52999877929688,26.65999984741211,132.26608276367188,145.39999389648438,227.6300048828125,183.61000061035156,32.70000076293945,79.27999877929688
2025-09-23,251.66000366210938,26.719999313354492,130.8920440673828,144.08999633789062,220.7100067138672,178.42999267578125,32.75,78.75
2025-09-24,247.13999938964844,27.139999389648438,131.3500518798828,142.63999938964844,220.2100067138672,176.97000122070312,34.650001525878906,78.12999725341797
2025-09-25,245.7899932861328,26.520000457763672,129.54788208007812,143.05999755859375,218.14999389648438,177.69000244140625,34.38999938964844,78.83999633789062
2025-09-26,246.5399932861328,26.739999771118164,128.04440307617188,142.5,219.77999877929688,178.19000244140625,34.86000061035156,79.25
2025-09-29,244.0500030517578,26.780000686645508,128.69158935546875,143.3699951171875,222.1699981689453,181.85000610351562,35.209999084472656,79.7699966430664
2025-09-30,243.10000610351562,26.90999984741211,130.61325073242188,145.7100067138672,219.57000732421875,186.5800018310547,35.68000030517578,79.94999694824219
2025-10-01,244.89999389648438,27.299999237060547,130.6232147216797,149.27000427246094,220.6300048828125,187.24000549316406,35.7400016784668,80.44000244140625
2025-10-02,245.69000244140625,27.530000686645508,132.4751739501953,144.4600067138672,222.41000366210938,188.88999938964844,36.81999969482422,79.62999725341797
2025-10-03,245.35000610351562,27.770000457763672,134.1777801513672,145.5,219.50999450683594,187.6199951171875,38.70000076293945,81.2300033569336
